PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID
21,9/2/18,1:17:12 PM,4,6,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,3,2,Undefined,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,87.41798495,-0.411577734,-3.666719718,2014.739891,215.2787527,1:15,5.542105184,1.751110718,5.944717893,-21.17336274,15.22641233,9.595373392,3.407256643,-0.80911298,80.05281816,-4.366851296,-1.814019328,0.434231044,,,,,,,,,,,,-6.128590867,8.323867872,-1.464524559,50,5.497380617,7.704938223,-126.8164659,-1.549903279,-10.03512535,24.60489865,-18.54431551,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,0881d7b4-aed4-11e8-ae34-484d7efbbbf7
22,9/2/18,1:17:47 PM,4,7,"Dotson, Josh",1000048798,Right,NOR_TAR,"Sabato, Aaron",1000013477,Right,NOR_TAR2,Undefined,1,Top,0,3,2,Undefined,Undefined,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.0694926,-0.885814048,-3.110057431,2040.922808,248.7660365,2:15,5.374235029,1.895913595,5.974290409,-29.72777333,6.357164084,11.94356575,2.044775755,0.06208429,80.24269116,-6.509332019,-0.790276911,0.432349038,,,,,,,,,,,,-7.350239963,3.709956045,-1.656692561,50,5.287693557,6.41805323,-127.7574977,-2.990237929,-12.100275,27.29143064,-26.06656246,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,1d19e2f9-aed4-11e8-ae34-484d7efbbbf7
23,9/2/18,1:18:37 PM,5,1,"Dotson, Josh",1000048798,Right,NOR_TAR,"Brantley, Cameran",1000048799,Left,NOR_TAR2,Undefined,1,Top,1,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,84.06638834,-2.038793273,-2.243051357,2041.259368,192.0312592,12:30,6.22129774,2.738343289,6.812039885,-18.82634457,19.86827295,3.78245067,2.824754156,1.027658986,75.84989284,-5.607981866,-1.489041474,0.447710003,,,,,,,,,,,,-2.82059957,11.75339764,-2.594870468,50,6.082194984,4.627385153,-121.9578273,-4.726619329,-4.190765778,27.00910003,-14.71118812,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,39dab7f4-aed4-11e8-ae34-484d7efbbbf7
24,9/2/18,1:18:48 PM,5,2,"Dotson, Josh",1000048798,Right,NOR_TAR,"Brantley, Cameran",1000048799,Left,NOR_TAR2,Undefined,1,Top,1,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,85.68428074,-3.30307162,-4.254265152,2140.163824,187.1228424,12:15,6.164839072,2.66467121,6.927974035,-20.98885275,16.16606026,1.778360661,1.411446509,-1.057655282,77.7957349,-7.288383984,-3.902171725,0.43871213,,,,,,,,,,,,-2.301470353,10.08823152,-2.399391597,50,5.950419105,9.157719749,-124.0226993,-7.661194354,-3.549378359,27.08314814,-16.61575531,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,41793539-aed4-11e8-ae34-484d7efbbbf7
25,9/2/18,1:19:00 PM,5,3,"Dotson, Josh",1000048798,Right,NOR_TAR,"Brantley, Cameran",1000048799,Left,NOR_TAR2,Undefined,1,Top,1,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,86.0106711,-0.969312508,-3.95618248,2057.824095,227.095729,1:30,5.807483098,3.047709713,6.804214423,-27.11914872,9.61270969,8.4226109,2.644693833,0.175328418,78.3064234,-6.165788938,-2.295695634,0.43620734,,,,,,,,,,,,-5.846880649,5.656726938,-2.794638972,50,5.734792617,8.305104531,-124.7877651,-2.85833351,-9.173098742,26.29174696,-23.29927962,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,48aec7d0-aed4-11e8-ae34-484d7efbbbf7
26,9/2/18,1:19:13 PM,5,4,"Dotson, Josh",1000048798,Right,NOR_TAR,"Brantley, Cameran",1000048799,Left,NOR_TAR2,Undefined,1,Top,1,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,80.88556474,-1.655209379,-3.347696,2366.922921,59.16034261,8:00,5.673436313,3.168014898,6.875531719,-43.2628153,-2.156939356,-6.244525485,0.501221006,-0.426910825,74.98925638,-9.882787779,-4.562776015,0.461448748,,,,,,,,,,,,2.556436551,-0.728498069,-2.953816124,50,5.552922912,7.077576504,-117.5696667,-4.578736925,3.579807558,22.19617844,-33.1941728,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,5024bbf6-aed4-11e8-ae34-484d7efbbbf7
27,9/2/18,1:19:28 PM,1,1,"Love, Austin",1000017398,Right,NOR_TAR2,"Caulfield, Tom",1000048797,Left,NOR_TAR,Undefined,1,Bottom,0,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,79.05751458,0.979673328,-3.291377736,2269.696502,75.82381605,8:30,5.515444443,3.131643865,6.833140311,-41.39551282,1.64484507,-0.933077821,2.901703467,0.044862566,72.75867735,-6.960094615,-3.474221313,0.47218203,,,,,,,,,,,,-0.373386112,0.671009105,-2.920476249,50,5.563680601,6.63942171,-114.8909602,0.842886426,-0.500304192,20.79672835,-31.27495602,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,598f6caf-aed4-11e8-ae34-484d7efbbbf7
28,9/2/18,1:19:42 PM,1,2,"Love, Austin",1000017398,Right,NOR_TAR2,"Caulfield, Tom",1000048797,Left,NOR_TAR,Undefined,1,Bottom,0,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,78.51741363,-0.749546514,-3.163056732,1187.616852,94.25248548,9:15,6.095422225,2.850824183,6.670780735,-41.54330232,2.402316128,-7.235835598,1.893010645,-0.678045679,72.56112443,-8.648597891,-4.572500549,0.477121853,,,,,,,,,,,,3.133884957,1.556740057,-2.636563451,50,6.028890591,6.55243654,-114.1034402,-2.638559978,4.135900518,20.79108952,-30.1195628,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,60d5b045-aed4-11e8-ae34-484d7efbbbf7
29,9/2/18,1:19:55 PM,1,3,"Love, Austin",1000017398,Right,NOR_TAR2,"Caulfield, Tom",1000048797,Left,NOR_TAR,Undefined,1,Bottom,0,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,80.56810345,0.171705844,-3.733155906,2007.434115,232.8219437,1:45,5.664972626,3.174449681,7.357663854,-30.0751908,11.21724672,11.87423928,3.296235777,0.855769233,72.66453017,-5.686379937,-1.344582748,0.462494719,,,,,,,,,,,,-7.952580858,6.357071377,-2.970724135,50,5.666635416,7.217598151,-116.9408631,-0.318638264,-10.85156039,25.05706518,-23.49961378,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,6959160c-aed4-11e8-ae34-484d7efbbbf7
30,9/2/18,1:20:10 PM,1,4,"Love, Austin",1000017398,Right,NOR_TAR2,"Caulfield, Tom",1000048797,Left,NOR_TAR,Undefined,1,Bottom,0,0,0,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,0,0,,86.80601668,-3.195993141,-3.10150026,2151.753578,204.0542633,12:45,5.943572765,2.873663535,6.789959218,-21.05555663,15.26070698,6.022102524,1.274553371,0.569082325,78.68717633,-7.201064524,-1.912968923,0.433732633,,,,,,,,,,,,-4.318185601,9.517785521,-2.674661897,50,5.728010122,6.590873544,-125.8309501,-7.557620679,-6.846392307,28.18193702,-17.08380011,NOR_TAR,NOR_TAR2,UNC,D1,ACC,20180902-UNC-1,6f81371a-aed4-11e8-ae34-484d7efbbbf7
